id_operacao,data_operacao,id_trecho,duracao_min,area_cortada_m2,energia_consumida_wh,bateria_final_pct,falhas_gps,tempo_parado_min,status,motivo_interrupcao
1,2026-08-04,3,61,140.1,193.9,59.6,2,6,Interrompida,Perda de sinal GPS
2,2026-08-04,3,61,162.0,199.6,58.4,0,0,Concluída,
3,2026-08-05,5,106,100.4,404.7,15.7,0,7,Interrompida,Bateria baixa
4,2026-08-05,6,83,359.6,143.9,70.0,0,0,Concluída,
5,2026-08-05,8,83,240.7,231.3,51.8,0,0,Concluída,
6,2026-08-07,2,62,171.8,151.5,68.4,1,5,Concluída,
7,2026-08-12,3,48,73.3,151.9,68.4,1,16,Interrompida,Fio de nylon enroscado
8,2026-08-14,4,61,83.2,193.4,59.7,2,10,Interrompida,Perda de sinal GPS
9,2026-08-15,8,118,364.5,353.9,26.3,0,0,Concluída,
10,2026-08-16,7,113,359.8,326.7,31.9,0,0,Concluída,
11,2026-08-16,8,107,312.4,320.6,33.2,0,0,Concluída,
12,2026-08-18,6,141,646.5,254.6,47.0,0,0,Concluída,
13,2026-08-18,7,83,221.1,234.8,51.1,0,9,Interrompida,Patinagem das rodas
14,2026-08-20,7,59,122.5,159.2,66.8,1,20,Interrompida,Obstáculo no terreno
15,2026-08-21,1,92,388.0,165.3,65.6,0,0,Concluída,
16,2026-08-21,5,100,109.6,404.3,15.8,0,15,Interrompida,Bateria baixa
17,2026-08-22,3,71,200.9,219.2,54.3,0,0,Concluída,
18,2026-08-22,4,119,239.4,396.1,17.5,0,0,Concluída,
19,2026-08-22,5,74,60.6,285.8,40.5,1,11,Concluída,
20,2026-08-22,7,73,173.6,192.9,59.8,1,16,Interrompida,Fio de nylon enroscado
21,2026-08-23,1,118,487.7,220.5,54.1,0,0,Concluída,
22,2026-08-23,2,55,131.3,126.5,73.6,2,16,Interrompida,Perda de sinal GPS
23,2026-08-23,4,71,116.1,226.5,52.8,0,0,Concluída,
24,2026-08-23,5,104,113.2,406.3,15.4,2,10,Interrompida,Bateria baixa
25,2026-08-24,8,125,315.8,350.0,27.1,1,22,Concluída,
26,2026-08-25,2,60,196.7,143.0,70.2,0,0,Concluída,
27,2026-08-25,3,82,227.3,272.1,43.3,0,0,Concluída,
28,2026-08-26,4,105,194.2,345.7,28.0,0,0,Concluída,
29,2026-08-27,2,126,397.9,284.0,40.8,0,0,Concluída,
30,2026-08-27,6,111,516.5,202.7,57.8,0,0,Concluída,
31,2026-08-28,4,80,110.9,259.6,45.9,1,4,Concluída,
32,2026-08-29,2,102,334.5,251.5,47.6,2,4,Concluída,
33,2026-08-30,1,77,303.0,140.3,70.8,1,11,Interrompida,Fio de nylon enroscado
34,2026-08-30,1,99,425.1,181.8,62.1,0,0,Concluída,
35,2026-08-30,3,88,195.9,277.4,42.2,0,4,Concluída,
36,2026-08-31,6,79,338.6,146.3,69.5,0,0,Concluída,
37,2026-08-31,7,78,245.5,212.5,55.7,0,0,Concluída,
38,2026-08-31,8,67,159.8,184.2,61.6,1,10,Concluída,
39,2026-08-31,8,83,250.5,237.7,50.5,0,0,Concluída,
40,2026-09-01,5,101,107.2,405.4,15.5,0,10,Interrompida,Bateria baixa
41,2026-09-04,1,122,524.9,245.6,48.8,0,0,Concluída,
42,2026-09-04,6,88,393.3,164.9,65.6,0,0,Concluída,
43,2026-09-05,7,86,202.4,230.1,52.1,3,15,Concluída,
44,2026-09-06,5,106,126.4,405.4,15.5,2,16,Interrompida,Bateria baixa
45,2026-09-10,1,127,579.6,253.7,47.1,1,4,Concluída,
46,2026-09-10,4,97,146.5,322.8,32.8,1,9,Concluída,
47,2026-09-11,2,110,371.5,272.2,43.3,1,3,Concluída,
48,2026-09-12,6,63,296.0,109.8,77.1,0,0,Concluída,
